 ,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year
165,MRF,EQ,27-Jan-17,53066.7,53080,53633,53080,53152,53339.2,53327.42,6477,345401684.6,3648,1443,22.28,2017
166,MRF,EQ,30-Jan-17,53339.2,53440,53440,51801.15,51998,51929.9,52222.81,12036,628553735.9,4542,5787,48.08,2017
167,MRF,EQ,31-Jan-17,51929.9,51998,52140,51000,51355,51659.5,51594.76,12635,651899852.3,6416,2930,23.19,2017
168,MRF,EQ,01-Feb-17,51659.5,51401,52840,51401,52416,52585.1,52270.05,11729,613075463.2,6232,3050,26,2017
169,MRF,EQ,02-Feb-17,52585.1,52600,52740,51351,51650,51590.9,51755.32,10660,551711699.5,5971,3860,36.21,2017
170,MRF,EQ,03-Feb-17,51590.9,51681.8,52654.15,50050.15,51050.1,51059.45,51181.53,39215,2007083509,18733,8197,20.9,2017
171,MRF,EQ,06-Feb-17,51059.45,51684.8,51684.8,50097.3,50200,50240.05,50757.2,17664,896575234.2,6624,9726,55.06,2017
172,MRF,EQ,07-Feb-17,50240.05,50690,51040,49759.65,50499.95,50434.75,50448.19,21900,1104815342,9788,9707,44.32,2017
173,MRF,EQ,08-Feb-17,50434.75,50666,51799.95,50350,51505.1,51604.45,51124.38,13393,684708881.8,6721,3910,29.19,2017
174,MRF,EQ,09-Feb-17,51604.45,51750,51985,51250,51702.55,51685.7,51674.29,7391,381924677.8,4816,2645,35.79,2017
175,MRF,EQ,10-Feb-17,51685.7,51850,51879.3,51310,51320,51472.35,51578.05,4384,226118155.5,3023,1211,27.62,2017
176,MRF,EQ,13-Feb-17,51472.35,51551.15,51680.3,50660.05,50843.8,50827.25,51064.03,5749,293567125.5,3726,1674,29.12,2017
177,MRF,EQ,14-Feb-17,50827.25,51020,51630.55,50010,50155,50195.2,50445.25,5866,295911844,3944,2407,41.03,2017
178,MRF,EQ,15-Feb-17,50195.2,50200.05,50582,49935.6,49950,49997.15,50187.47,8012,402102032.7,4725,2286,28.53,2017
179,MRF,EQ,16-Feb-17,49997.15,50180,50858,49600,50500,50538.05,50220.31,16212,814171587.5,8259,6001,37.02,2017
